Date,FTSE
02/06/2020,3484.08
03/06/2020,3575.17
04/06/2020,3553.69
05/06/2020,3633.81
08/06/2020,3628.75
09/06/2020,3548.65
10/06/2020,3540.54
11/06/2020,3401.69
12/06/2020,3418.45
15/06/2020,3400
16/06/2020,3495.58
17/06/2020,3504.42
18/06/2020,3488.67
19/06/2020,3526.28
22/06/2020,3500.09
23/06/2020,3537.97
24/06/2020,3429.57
25/06/2020,3439.22
26/06/2020,3444.93
29/06/2020,3478.79
30/06/2020,3450
01/07/2020,3446.85
02/07/2020,3491.25
03/07/2020,3450.3
06/07/2020,3518.59
07/07/2020,3467.11
08/07/2020,3445.87
09/07/2020,3389.48
10/07/2020,3417.34
13/07/2020,3461.88
14/07/2020,3456.52
15/07/2020,3517.4
16/07/2020,3494.51
17/07/2020,3513.88
20/07/2020,3501.72
21/07/2020,3509.42
22/07/2020,3479
23/07/2020,3481.81
24/07/2020,3433.44
27/07/2020,3421.03
28/07/2020,3436.42
29/07/2020,3436.43
30/07/2020,3362.73
31/07/2020,3316.88
03/08/2020,3387.43
04/08/2020,3393.9
05/08/2020,3437
06/08/2020,3395.41
07/08/2020,3402.65
10/08/2020,3414.64
11/08/2020,3472.13
12/08/2020,3533.9
13/08/2020,3484.3
14/08/2020,3433.4
17/08/2020,3452.06
18/08/2020,3423.38
19/08/2020,3438.55
20/08/2020,3389.63
21/08/2020,3387
24/08/2020,3438.57
25/08/2020,3403.39
26/08/2020,3413.27
27/08/2020,3392.28
28/08/2020,3376.16
01/09/2020,3322.67
02/09/2020,3362.81
03/09/2020,3312.61
04/09/2020,3284.93
07/09/2020,3359.07
08/09/2020,3355.19
09/09/2020,3392.69
10/09/2020,3387.73
11/09/2020,3400.36
14/09/2020,3401.69
15/09/2020,3443.29
16/09/2020,3430
17/09/2020,3414.75
18/09/2020,3389.14
21/09/2020,3271.19
22/09/2020,3281.27
23/09/2020,3319.55
24/09/2020,3277.52
25/09/2020,3294.89
28/09/2020,3345.58
29/09/2020,3324.8
30/09/2020,3314.92
01/10/2020,3323.43
02/10/2020,3334.4
05/10/2020,3359.71
06/10/2020,3370.18
07/10/2020,3368.6
08/10/2020,3388.26
09/10/2020,3410.57
12/10/2020,3406.59
13/10/2020,3382.53
14/10/2020,3368.39
15/10/2020,3316.85
16/10/2020,3356.89
19/10/2020,3342.06
20/10/2020,3346.31
21/10/2020,3289.04
22/10/2020,3296.89
23/10/2020,3338.89
26/10/2020,3298.47
27/10/2020,3260.18
28/10/2020,3180.69
29/10/2020,3177.8
30/10/2020,3176.95
02/11/2020,3212.02
03/11/2020,3283.89
04/11/2020,3339.07
05/11/2020,3354.2
06/11/2020,3355.63
09/11/2020,3515.68
10/11/2020,3573.17
11/11/2020,3623.37
12/11/2020,3601.98
13/11/2020,3590.4
16/11/2020,3650.63
17/11/2020,3621.46
18/11/2020,3636.91
19/11/2020,3606.7
20/11/2020,3614.69
23/11/2020,3609.01
24/11/2020,3661.79
25/11/2020,3635.25
26/11/2020,3616.32
27/11/2020,3620.72
30/11/2020,3569.02
01/12/2020,3641.18
02/12/2020,3679.17
03/12/2020,3700.05
04/12/2020,3729.83
07/12/2020,3724.04
08/12/2020,3723.72
09/12/2020,3726.72
10/12/2020,3739.22
11/12/2020,3710
14/12/2020,3707.6
15/12/2020,3701.78
16/12/2020,3736.74
17/12/2020,3733.89
18/12/2020,3717.78
21/12/2020,3651.03
22/12/2020,3676.74
23/12/2020,3708.02
24/12/2020,3719.11
29/12/2020,3777.7
30/12/2020,3749.79
31/12/2020,3697.7
04/01/2021,3751.55
05/01/2021,3776.33
06/01/2021,3892.36
07/01/2021,3900.64
08/01/2021,3910.06
11/01/2021,3865.6
12/01/2021,3842.73
13/01/2021,3835.55
14/01/2021,3867.22
15/01/2021,3830.92
18/01/2021,3824.63
19/01/2021,3819.83
20/01/2021,3841.79
